id,Property Name,City,Star Rating,Total Price,Main Distance (km)
0,Emaar Elite Al Madina Hotel,Makkah,5,MYR 991.89,0.6
1,View Al Madinah Hotel,Makkah,5,MYR 921.52,0.35
2,Rotana Al Manakha Madinah,Makkah,5,MYR 879.85,0.45
3,Conrad Jabal Omar Makkah,Makkah,5,"MYR 2,492.92",0.6
4,"Makkah Clock Royal Tower, A Fairmont Hotel",Makkah,5,"MYR 2,412.53",0.3
5,Makkah Towers,Makkah,5,"MYR 2,390.81",0.5
6,Jabal Omar Hyatt Regency Makkah,Makkah,5,"MYR 2,172.48",0.45
7,Jumeirah Jabal Omar Makkah,Makkah,5,"MYR 2,118.16",0.6
8,Movenpick Hotel & Residences Hajar Tower Makkah,Makkah,5,"MYR 2,041.04",0.3
9,Address Jabal Omar Makkah,Makkah,5,"MYR 1,889.18",0.7
10,Al Safwah Hotel First Tower 1,Makkah,5,"MYR 1,810.75",0.3
11,Al Safwah Orchid Hotel,Makkah,5,"MYR 1,792.73",0.3
12,Swissotel Makkah,Makkah,5,"MYR 1,781.43",0.3
13,Al Marwa Rayhaan by Rotana - Makkah,Makkah,5,"MYR 1,737.98",0.3
14,Swissotel Al Maqam Makkah,Makkah,5,"MYR 1,728.33",0.25
15,InterContinental Dar Al Iman Madinah by IHG,Makkah,5,"MYR 1,655.43",0.5
16,Al Safwah Hotel Third Tower 3,Makkah,5,"MYR 1,626.45",0.35
17,Madinah Hilton Hotel,Makkah,5,"MYR 1,592.70",0.5
18,Elaf Kinda Hotel,Makkah,5,"MYR 1,559.29",0.5
19,Zamzam Pullman Makkah,Makkah,5,"MYR 1,522.63",0.3
20,Hilton Hotel & Convention Jabal Omar Makkah,Makkah,5,"MYR 1,477.28",0.6
21,Sheraton Makkah Jabal Al Kaaba Hotel,Makkah,5,"MYR 1,412.11",0.8
22,Emaar Al Mektan Hotel,Makkah,5,"MYR 1,359.57",0.6
23,Makarem Ajyad Makkah Hotel,Makkah,5,"MYR 1,352.37",0.6
24,Al Shohada by Palm Rich Makkah,Makkah,5,"MYR 1,315.43",0.9
25,InterContinental Dar Al Hijra Madinah by IHG,Makkah,5,"MYR 1,310",0.7
26,Marriott Hotel Jabal Omar Makkah,Makkah,5,"MYR 1,302.40",0.7
27,Crowne Plaza Madinah by IHG,Makkah,5,"MYR 1,249.17",0.35
28,"Diyar Ajwa, Tapestry Collection By Hilton",Makkah,5,"MYR 1,246.46",0.6
29,Doubletree By Hilton Jabal Omar Makkah,Makkah,5,"MYR 1,246.46",0.8
30,Anjum Makkah Hotel,Makkah,5,"MYR 1,180.96",0.7
31,Maysan Al Harithia Hotel,Makkah,5,"MYR 1,114.48",0.6
32,Elaf Taiba Hotel,Makkah,5,"MYR 1,086.24",0.6
33,MADEN Al Rawda,Makkah,4,MYR 977.61,0.5
34,Anwar Al Madinah Mövenpick,Makkah,4,MYR 977.61,0.6
35,Taiba Front Hotel,Makkah,4,MYR 977.61,0.5
36,Snood Ajyad Tower One,Makkah,4,MYR 949.91,0.5
37,Makarem Burj Al Madinah,Makkah,4,MYR 928.73,0.5
38,Elaf Ajyad Hotel Makkah,Makkah,4,MYR 923.85,0.6
39,Golden Tulip Al Shakreen,Makkah,4,MYR 923.30,0.3
